term,beta_boot_median,OR_boot_median,CI_low,CI_high,n_boot_success,n_boot_nonconverged,n_boot_failed_or_skipped,beta_hat,OR,model_set,n,events,events_tai_pos,n_tai_pos,events_tai_neg,n_tai_neg,brier_score,auc,converged,optimizer_message,n_iter,optimizer,age_centering_mean,source_table,endpoint,endpoint_label,warning,variant,variant_description,exposure,eligibility_flag,status,trim_applied,trim_var,trim_q_low,trim_q_high,trim_low_value,trim_high_value,n_before_trim,n_after_trim,n_trimmed,effect_measure,estimator,ci_includes_null,effect_direction,events_exposed,n_exposed,events_total,E_value_point,E_value_CI,rare_event_warning,interpretation_caution,reported_estimator,diagnostic_probability_model,prevalence,rare_event_warning_tai_pos,brier,auc_ci_low,auc_ci_high,n_boot_ok,cal_intercept,cal_slope,n_complete_case,risk_tai_pos,risk_tai_neg,rare_event_warning_total
,,,0.0842205845814585,1.2044852974749451,2000.0,10.0,0.0,,0.4913218422472574,,1033.0,60.0,2.0,80.0,58.0,953.0,,,True,Converged,8.0,,21.447241045498547,TableS1_sensitivity,ep_primary,Primary endpoint,,trim01_99_TAI_A,Outlier robustness using 1%/99% trimming,tai_A,analysis_primary_eligible,ok,True,tg_hdl_ratio,0.01,0.99,0.4632975847625597,6.468348635434113,1300.0,1276.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.6473368010113291,1.8961019081489527,2000.0,0.0,0.0,,1.135902984848509,,1034.0,216.0,19.0,83.0,197.0,951.0,,,True,Converged,6.0,,21.45551257253385,TableS1_sensitivity,ep_non_hdl,non-HDL ≥ 130 mg/dL,,trim01_99_TAI_A,Outlier robustness using 1%/99% trimming,tai_A,analysis_non_hdl_eligible,ok,True,non_hdl,0.01,0.99,51.946,189.0,1300.0,1277.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.623894740643527,2.288660928458412,2000.0,1.0,0.0,,1.2808929678034655,,1013.0,144.0,13.0,77.0,131.0,936.0,,,True,Converged,7.0,,21.43731490621915,TableS1_sensitivity,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,,trim01_99_TAI_A,Outlier robustness using 1%/99% trimming,tai_A,analysis_ogtt120_eligible,ok,True,glu120,0.01,0.99,56.015,204.1700000000003,1300.0,1276.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
TAI_A,,,0.2108528694966625,1.66581638021192,,,,,0.7658349805993099,primary,,,,,,,,,,,,,,TableS2_Evalues,Primary: Firth logistic (ep_primary ~ TAI_A + age_c),TG/HDL > 3.5,,,,,,,,,,,,,,,,OR,firth,True,lower_odds_in_TAI_positive,,84.0,,1.937631526688356,1.0,False,CI includes 1.0; E-value for CI is not informative beyond the null-compatible result,,,,,,,,,,,,,,
TAI_A,,,0.6251808771056044,2.1802891511462805,,,,,1.265196713498669,secondary,,,,,,,,,,,,,,TableS2_Evalues,ep_ogtt120,OGTT 120 min >= 140 mg/dL,,,,,,,,,,,,,,,,OR,firth,True,higher_odds_in_TAI_positive,,79.0,,1.844442784136325,1.0,False,CI includes 1.0; E-value for CI is not informative beyond the null-compatible result,,,,,,,,,,,,,,
TAI_A,,,0.6116881886188331,1.7630873053904657,,,,,1.0912202311240955,secondary,,,,,,,,,,,,,,TableS2_Evalues,ep_non_hdl,non-HDL > 130 mg/dL,,,,,,,,,,,,,,,,OR,firth,True,higher_odds_in_TAI_positive,,84.0,,1.4067219929106645,1.0,False,CI includes 1.0; E-value for CI is not informative beyond the null-compatible result,,,,,,,,,,,,,,
,,,,,,,,,,primary,1053.0,,,,,,,0.5292326696701061,,,,,,TableS10_model_diagnostics,ep_primary,,,,,,,ok_aux_logit,,,,,,,,,,,,,,,,70.0,,,,,firth,standard_logit_auxiliary,0.0664767331433998,True,0.0619902746911235,0.4530045998487363,0.6081905385770104,2000.0,-1.4414243800163902e-13,0.9999999999999454,,,,
,,,,,,,,,,secondary_non_hdl,1053.0,,,,,,,0.5521066689643287,,,,,,TableS10_model_diagnostics,ep_non_hdl,,,,,,,ok_aux_logit,,,,,,,,,,,,,,,,224.0,,,,,firth,standard_logit_auxiliary,0.2127255460588794,False,0.1667223711894629,0.5058532335180875,0.5951873066195207,2000.0,-3.0916655435413214e-14,0.9999999999999762,,,,
,,,,,,,,,,secondary_ogtt120,1035.0,,,,,,,0.5070228406405881,,,,,,TableS10_model_diagnostics,ep_ogtt120,,,,,,,ok_aux_logit,,,,,,,,,,,,,,,,156.0,,,,,firth,standard_logit_auxiliary,0.1507246376811594,False,0.1279486637749172,0.4598319999848075,0.5589343744950632,2000.0,8.556648234273477e-15,1.000000000000005,,,,
,,,,,,,,,,primary,,,4.0,84.0,66.0,969.0,,,,,,,,TableS10_cohort_integrity_and_events,ep_primary,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,0.0664767331433998,True,,,,,,,1053.0,0.0476190476190476,0.0681114551083591,False
,,,,,,,,,,secondary_non_hdl,,,19.0,84.0,205.0,969.0,,,,,,,,TableS10_cohort_integrity_and_events,ep_non_hdl,,,,,,,,,,,,,,,,,,,,,,,224.0,,,,,,,0.2127255460588794,False,,,,,,,1053.0,0.2261904761904762,0.2115583075335397,False
,,,,,,,,,,secondary_ogtt120,,,14.0,79.0,142.0,956.0,,,,,,,,TableS10_cohort_integrity_and_events,ep_ogtt120,,,,,,,,,,,,,,,,,,,,,,,156.0,,,,,,,0.1507246376811594,False,,,,,,,1035.0,0.1772151898734177,0.1485355648535564,False
